region_id,region_name,pfpr2to10,population,treatments,clinicalepisodes,reported_cases,treated_cases,total_cases
1,Acholi,13.103589306127127,2235250.0,1538958.0,1769886.0,296.0527636729672,688.4947992394586,791.8067330276256
2,Ankole,6.3341885922300625,3903965.0,1584306.0,1741198.0,174.5024814515499,405.81972430593,446.00758459668566
3,Bugisu,7.589932866190638,2439653.0,1035774.0,1218782.0,182.55990503567514,424.5579186876166,499.57186534314513
4,Bukedi,5.947144481240132,2192302.0,708950.0,874474.0,139.05406280704028,323.38154141172157,398.8839128915633
5,Bunyoro,11.420101546766269,3117357.0,1859472.0,2187824.0,256.4906618010064,596.4899111651313,701.8201636835306
6,Busoga,22.671723588286145,5342899.0,5623870.0,6394006.0,452.61272953129003,1052.5877430960234,1196.7297154597159
7,South Buganda,5.028662714641449,6190117.0,1961690.0,2204212.0,136.26991218421236,316.90677252142405,356.0856765712183
8,North Buganda,12.046888349991812,5698264.0,4189774.0,4331184.0,316.1669624292592,735.2720056494398,760.0883356755671
9,Kampala,2.6522367439059367,2166530.0,382210.0,413560.0,75.85876955315643,176.41574314687543,190.88588664823473
10,Karamoja,36.11911117889366,1296946.0,1782654.0,2097960.0,591.0355712574001,1374.5013285055816,1617.615536807238
11,Kigezi,2.474075411582854,1743716.0,273582.0,310500.0,67.46526383883614,156.895962415898,178.06798813568264
12,Lango,14.74441548726708,2926298.0,2491896.0,2625702.0,366.1675195075826,851.5523709478665,897.2777208609649
13,Teso,10.508438405031178,2723149.0,1426142.0,1759994.0,225.1955585243407,523.7106012193971,646.3083731371291
14,Tooro,7.348369787791503,3702520.0,1379950.0,1745962.0,160.26341518749393,372.70561671510217,471.56045072005014
15,West Nile,22.65985207064981,3545818.0,3678964.0,4277356.0,446.14656477010385,1037.5501506281485,1206.3100813408923
