ID,Label
1,Abim
2,Adjumani
3,Agago
4,Alebtong
5,Amolatar
6,Amudat
7,Amuria
8,Amuru
9,Apac
10,Arua
11,Budaka
12,Bududa
13,Bugiri
14,Bugweri
15,Buhweju
16,Buikwe
17,Bukedea
18,Bukomansimbi
19,Bukwo
20,Bulambuli
21,Buliisa
22,Bundibugyo
23,Bunyangabu
24,Bushenyi
25,Busia
26,Butaleja
27,Butambala
28,Butebo
29,Buvuma
30,Buyende
31,Dokolo
32,Gomba
33,Gulu
34,Hoima
35,Ibanda
36,Iganga
37,Isingiro
38,Jinja
39,Kaabong
40,Kabale
41,Kabarole
42,Kaberamaido
43,Kagadi
44,Kakumiro
45,Kalaki
46,Kalangala
47,Kaliro
48,Kalungu
49,Kampala
50,Kamuli
51,Kamwenge
52,Kanungu
53,Kapchorwa
54,Kapelebyong
55,Karenga
56,Kasese
57,Kassanda
58,Katakwi
59,Kayunga
60,Kazo
61,Kibaale
62,Kiboga
63,Kibuku
64,Kikuube
65,Kiruhura
66,Kiryandongo
67,Kisoro
68,Kitagwenda
69,Kitgum
70,Koboko
71,Kole
72,Kotido
73,Kumi
74,Kwania
75,Kween
76,Kyankwanzi
77,Kyegegwa
78,Kyenjojo
79,Kyotera
80,Lamwo
81,Lira
82,Luuka
83,Luwero
84,Lwengo
85,Lyantonde
86,Madi Okollo
87,Manafwa
88,Maracha
89,Masaka
90,Masindi
91,Mayuge
92,Mbale
93,Mbarara
94,Mitooma
95,Mityana
96,Moroto
97,Moyo
98,Mpigi
99,Mubende
100,Mukono
101,Nabilatuk
102,Nakapiripirit
103,Nakaseke
104,Nakasongola
105,Namayingo
106,Namisindwa
107,Namutumba
108,Napak
109,Nebbi
110,Ngora
111,Ntoroko
112,Ntungamo
113,Nwoya
114,Obongi
115,Omoro
116,Otuke
117,Oyam
118,Pader
119,Pakwach
120,Pallisa
121,Rakai
122,Rubanda
123,Rubirizi
124,Rukiga
125,Rukungiri
126,Rwampara
127,Serere
128,Sheema
129,Sironko
130,Soroti
131,Ssembabule
132,Tororo
133,Wakiso
134,Yumbe
135,Zombo
