region_id,region_name,run,simulated_pfpr,total_cases,treated_cases,reported_cases
1,Acholi,15.5,16.037801388676115,359.474678999361,312.9148788702084,134.5533979141896
2,Ankole,15.5,8.278170723593554,207.09969590493256,188.53524933082429,81.07015721225446
3,Bugisu,15.5,9.795125570400481,232.27402415379896,197.29043343356835,84.83488637643438
4,Bukedi,15.5,7.738933782884424,185.2787444614549,149.9847628144452,64.49344801021144
5,Bunyoro,15.5,14.267962935739542,321.4853001070546,273.4692413445323,117.59177377814888
6,Busoga,15.5,25.527498941398395,523.3861754552611,460.02215146198887,197.80952512865522
7,South Buganda,15.5,6.595201029521396,166.410244738184,148.14934434415355,63.70421806798603
8,North Buganda,15.5,14.751509060064008,345.9650424044728,334.76005223376984,143.94682246052105
9,Kampala,15.5,3.4670236600029662,89.50899230717522,82.58543799054107,35.51173833593266
10,Karamoja,15.5,38.18597336677742,670.5128097568754,570.3117602339355,245.23405690059226
11,Kigezi,15.5,3.2276743178318927,82.63854555409911,72.71303972668584,31.26660708247491
12,Lango,15.5,17.787947921463775,406.947249536786,386.3602333320467,166.13490033278006
13,Teso,15.5,13.254189675573993,298.9540656234912,242.26052749383803,104.17202682235036
14,Tooro,15.5,9.428998590697272,218.70581098928446,172.78802669890283,74.29885148052821
15,West Nile,15.5,25.785822909425402,531.1062982625017,456.4776579747306,196.28539292913416
